页序,词条,繁体异体,拼音,字级,笔画数,释义
014/R-01,膀,（*髈）,bǎng,一级,14,❶（–子）胳膊上部靠肩的部分：他的两～真有劲。//❷（–儿）鸟类等的翅膀。//另见pāng；páng。
014/R-02,玤,,bàng,三级,8,❶质量次于玉的美石。//❷古地名，春秋时虢地，在今河南省渑池。
014/R-03,蚌,（**蜯）,bàng,一级,10,软体动物，贝壳长圆形，黑褐色，生活在淡水里，壳内有珍珠层，有的可以产出珍珠。//另见bèng。
014/R-04,棒,,bàng,一级,12,❶棍子：棍～。//［棒子］（–zi）1.棍子。2.〈方〉玉米：～面。//❷指在某方面优秀，如体力强、能力高、成绩好等：这小伙子真～|得～。
014/R-05,傍,,bàng,一级,12,❶靠：依山～水。//❷临近（多指时间）：～亮|～晚。
014/R-06,谤,（謗）,bàng,一级,12,❶恶意攻击（〖连〗诽–、毁–）。//❷公开指责：妄～前辈。
014/R-07,塝,,bàng,三级,13,〈方〉田边土坡，沟渠或土埂的边。多用于地名：张～（在湖北省蕲春）。
015/L-01,搒,,bàng,三级,13,摇橹使船前进，划船。//另见péng。
015/L-02,蒡,,bàng,二级,13,［牛蒡］草本植物，叶心脏形，很大，花紫红色。果实、根、叶可入药。
015/L-03,磅,,bàng,一级,15,❶英制质量或重量单位，1磅合453.6克。//❷磅秤：过～。//另见páng。
015/L-04,镑,（鎊）,bàng,一级,15,〖外〗英国、埃及等国的本位货币。
015/L-05,包,,bāo,一级,5,❶用纸、布等把东西裹起来：把书～起来。//❷（–儿）包好了的东西：邮～|行李～。//［包裹］1.缠裹：把伤口～起来。2.指邮寄的包。//❸装东西的袋：书～|皮～。//❹量词，用于成包的东西：一～花生米。//❺（–子、–儿）一种带馅儿的、用蒸等方式做成的食物：糖～儿|肉～子。//❻肿起的疙瘩：腿上起个大～。//❼容纳在内，总括在一起（〖连〗–含、–括）：无所不～。//［包涵］客套话，请人宽容或原谅。//❽总揽，负全责：～销|～换。//［包办］总负全责办理。引专断独行，不让别人参与：～婚姻。//❾保证：～你喜欢|～你玩得痛快。//❿约定专用：～饭|～场|～了一辆车。
015/R-01,苞,,bāo,一级,8,❶花未开时包在花骨朵儿外面的变形叶片：含～未放。//❷茂盛：竹～松茂。
015/R-02,孢,,bāo,二级,8,孢子，某些低等生物在无性繁殖或有性生殖中所产生的生殖细胞。
015/R-03,枹,,bāo,三级,9,枹树，落叶乔木，叶子互生，略呈倒卵形，边缘锯齿形。种子可用来提取淀粉，树皮可以制栲胶。//另见fú。
015/R-04,胞,,bāo,一级,9,❶胞衣，包裹胎儿的膜和胎盘。//❷同一父母所生的：～兄|～叔（父亲的同父母的弟弟）。//［同胞］1.同父母的兄弟姊妹。2.称同祖国、同民族的人。
015/R-05,炮,,bāo,一级,9,❶把物品放在器物上烘烤或焙：把湿衣服搁在热炕上～干。//❷烹饪方法，在旺火上急炒：～羊肉。//另见páo；pào。
015/R-06,龅,（齙）,bāo,二级,13,［龅牙］突出唇外的牙齿。
015/R-07,剝,,bāo,,10,去掉外面的皮、壳或其他东西（常用于口语）：～花生|～皮。//另见bō。
016/L-01,煲,,bāo,二级,13,〈方〉//❶壁较陡直的锅：铜～|瓦～|电饭～。//❷用煲煮或熬：～粥|～汤。
016/L-02,褒,,bāo,一级,15,赞扬，夸奖，跟“贬”相对（〖连〗–奖）：～扬|～义词。
016/L-03,雹,,báo,一级,13,（–子）冰雹，空中水蒸气遇冷结成的冰粒或冰块，常在夏季随暴雨降下。
016/L-04,薄,,báo,一级,16,❶扁平物体上下两个面之间的距离较小，跟“厚”相对：～片|～饼|～纸|这块布太～。//❷（感情）冷淡，（情义）不深：待我不～。//❸（味道）淡：酒味很～。//❹（土地）不肥沃：两亩～地。//❺不富有：家底儿～。//另见bó；bò。
016/L-05,饱,（飽）,bǎo,一级,8,❶吃足了，跟“饿”相对。引足，充分：～学|～经风霜。//［饱和］在一定的温度和压力下，溶液内所含被溶解物质的量已达到最大限度，不能再溶解。引事物发展到最高限度。//［饱满］充实，充足：谷粒长得很～|精神～。//❷满足：大～眼福。
016/L-06,宝,（寶、*寳）,bǎo,一级,8,❶珍贵的：～刀|～石|～物。敬辞，称与对方有关的人或事物，如家眷、店铺等：～眷|～号。//❷珍贵的东西：珠～|国～|粮食是～中之～。//［宝贝］1.珍贵的东西。2.（–儿）对小孩儿亲昵的称呼。
016/R-01,保,,bǎo,一级,9,❶看守住，护着不让受损害或丧失（〖连〗–卫、–护）：～家卫国|～健|～育。//［保持］维持，使持久：～艰苦奋斗的作风。//［保守］1.保住，使不失去：～机密。2.守旧，不改进：这个想法太～了。//［保障］1.维护：～群众的合法权益。2.作为卫护的力量：人民解放军是祖国安全的～。//❷负责，担保：～证|～荐|我敢～他一定做得好。//［保险］1.因自然灾害或意外事故等造成损失而给付保险金的一种经济补偿制度。参与保险的个人或企业按期向保险公司交保险费，发生灾害或遭受损失时，由保险公司按预定保险数额赔偿。2.靠得住：这样做～不会错。//❸旧时户口的一种编制，若干户为一甲，若干甲为一保。//［保安族］我国少数民族，参看附表。
016/R-02,葆,,bǎo,二级,12,❶草木繁盛。//❷保持：永～青春。
016/R-03,堡,,bǎo,一级,12,❶堡垒：碉～|桥头～。//［堡垒］军事上防守用的建筑物：攻下敌人最坚固的～。〖喻〗难于攻破的事物：攻克科学～。//❷小城。//另见bǔ；pù。
017/L-01,褓,（*緥）,bǎo,二级,14,见“襁”字条“襁褓”（qiǎng–）。
017/L-02,鸨,（鴇）,bǎo,二级,9,❶大鸨，鸟名，比雁略大，背上有黄褐色和黑色斑纹，不善飞而善走。//❷指鸨母（开设妓院的女人）：老～。
017/L-03,报,（報）,bào,一级,7,❶传达，告知：～喜|～信。//［报告］向上级或群众陈述，也指向上级或群众所做的陈述：～大家一个好消息|起草～。//❷传达消息和言论的文件或信号：电～|情～|警～。//❸报纸，也指某些刊物：日～|晚～|～|黑板～。//❹回答，回应：～恩|～仇。//［报酬］由于使用别人的劳动或物件而付给的钱或实物。//［报复］用敌对的行动回击对方。
017/L-04,刨,（*鉋、*鑤）,bào,一级,7,❶（–子）推刮木料等使平滑的工具。//❷用刨子或刨床推刮：～得不光|～平。//另见páo。
017/L-05,抱,（③**菢）,bào,一级,8,❶用手臂围住（〖连〗拥–）：～着孩子|～头鼠窜。引围绕：山环水～。//［合抱］两臂围拢（多指树木、柱子等的粗细）。//［抱负］愿望，志向：做有志气有～的青年。//❷心里存着：～不平|～歉|～着必胜的决心。//❸孵（fū）：～窝|～小鸡。//❹表示两臂合围的量：树干有两～粗。
017/R-01,鲍,（鮑）,bào,一级,13,❶软体动物，俗叫鲍鱼，古称鳆（fù），肉味鲜美。//❷鲍鱼，盐腌的干鱼。
017/R-02,趵,,bào,二级,10,跳：～突泉（在山东省济南）。
017/R-03,豹,,bào,一级,10,哺乳动物，像虎而小，毛黄褐或赤褐色，多有黑色斑点。性凶猛，善跳跃，能上树。
017/R-04,暴,,bào,一级,15,❶强大而突然来的，又猛又急的：～风雨|～病。//［暴力］武力，强制性的力量：滥施～|家庭～。//❷过分急躁的，容易冲动的：这人脾气真～。//❸凶恶残酷的（〖连〗–虐、残–、凶–）：～行|～徒。//❹糟蹋，损害：自～自弃。//❺露出来：～露|自～家丑。//❻姓。//另见pù。
017/R-05,瀑,,bào,一级,18,❶暴雨。//❷瀑河，水名，一在河北省东北部，一在河北省中部。//另见pù。
018/L-01,曝,,bào,一级,19,［曝光］使感光纸或摄影胶片感光。〖喻〗隐蔽的事情暴露出来，被众人知道：事情～后，他压力很大。//另见pù。
018/L-02,爆,,bào,一级,19,❶猛然破裂（〖连〗–炸）：豆荚熟得都～了。//［爆表］实际数值超过仪表上的最高刻度，形容数量极大或程度极高：空气污染指数～。//［爆竹］用纸卷火药，点燃引线爆裂发声的东西。又叫爆仗、炮仗。//❷突然发生：～发|～冷门|～红（突然走红）。//❸烹饪方法，用滚水稍微一煮或用滚油稍微一炸：～肚（dǔ）儿|～炒。
018/L-03,陂,,bēi,二级,7,❶池塘：～塘|～池。//❷池塘的岸。//❸山坡。//另见pí；pō。
018/L-04,杯,,bēi,一级,8,❶（–子）盛酒、水、茶等的器皿：酒～|玻璃～|～水车薪（用一杯水救一车着火的柴，比喻无济于事）。//❷杯状的奖品：奖～|金～|捧～（获奖）。
018/L-05,卑,,bēi,一级,8,低下：地势～湿|自～。引低劣（〖连〗–鄙）：～劣。
018/R-01,椑,,bēi,三级,12,［椑柿］柿子的一种，果实小，青黑色，可用来制柿漆。
018/R-02,碑,,bēi,一级,13,刻上文字纪念事业、功勋或作为标记的石头：人民英雄纪念～|里程～|有口皆～（形容人人都说好）。
018/R-03,鹎,（鵯）,bēi,三级,13,鸟名，羽毛大部分为黑褐色，腿短而细。种类很多。
018/R-04,背,（*揹）,bēi,一级,9,人用背（bèi）驮（tuó）东西：把小孩儿～起来|～包袱|～枪。引负担，承受：～债|～处分。//另见bèi。
018/R-05,悲,,bēi,一级,12,❶伤心，哀痛（〖连〗–哀、–伤、–痛）：～喜交集。//❷怜悯（〖连〗–悯）：慈～。
018/R-06,北,,běi,一级,5,❶方向，早晨面对太阳左手的一边，跟“南”相对：～门|由南往～。//❷败北，打了败仗往回跑：三战三～|追奔逐～（追击败逃的敌人）。
018/R-07,贝,（貝）,bèi,一级,4,❶有壳的软体动物的统称，如蛤蜊、蚌、鲍、田螺等。//❷古代用贝壳做的货币。
018/R-08,狈,（狽）,bèi,一级,7,传说中的一种兽：狼～为奸。
019/L-01,𬇙,（浿）,bèi,三级,7,用于地名：虎～（在福建省宁德）。
019/L-02,钡,（鋇）,bèi,二级,9,金属元素，符号Ba，原子序数56。银白色，燃烧时发黄绿色火焰。
019/L-03,孛,,bèi,二级,7,古书上指彗星。
019/L-04,悖,（*誖）,bèi,一级,10,混乱，违反：并行不～|有～常理。
019/L-05,邶,,bèi,二级,7,周代诸侯国名，在今河南省汤阴东南。
019/L-06,背,,bèi,一级,9,人用背（bèi）驮（tuó）东西：把小孩儿～起来|～包袱|～枪。引负担，承受：～债|～处分。//另见bèi。
019/R-01,褙,,bèi,二级,14,把布或纸一层一层地粘在一起：裱～。
019/R-02,备,（備、*俻）,bèi,一级,8,❶具备，完备：德才兼～|求全责～。引副词，完全，全：艰苦～尝|爱护～至。//❷预备，防备：～耕|～荒|～课|准～|有～无患。//［备案］向主管机关提供书面报告，以备查考。//［备份］1.备用的与原件相同的文件、数据或资料等。2.复制备用的文件、数据或资料等。//❸设备：装～|军～。
019/R-03,惫,（憊）,bèi,一级,12,极度疲乏：疲～。
019/R-04,糒,,bèi,三级,16,干饭。
019/R-05,鞴,,bèi,二级,19,把鞍辔（pèi）等套在马身上：～马。
019/R-06,倍,,bèi,一级,10,❶跟原数相同的数，某数的几倍就是用几乘某数：二的五～是十|精神百～（精神旺盛）。//❷加倍：事半功～|勇气～增|～加努力。
019/R-07,棓,,bèi,三级,12,［五棓子］盐肤木的叶子受五棓子蚜虫刺激后形成的虫瘿，可入药。也作“五倍子”。
020/L-01,焙,,bèi,二级,12,把东西放在器皿里，用微火在下面烘烤：把花椒～干研成细末。
020/L-02,蓓,,bèi,二级,13,［蓓蕾］（–lěi）花骨朵儿，还没开的花。
020/L-03,碚,,bèi,二级,13,［北碚］地名，在重庆市。
020/L-04,被,,bèi,一级,10,❶（–子）睡觉时覆盖身体的东西：棉～|夹～。//❷盖，遮盖：～覆。//❸介词，引进主动的人或物并使动词含有受动的意义：他～父亲骂了一顿|～大家评选为生产能手。//❹助词，用在动词前，表示受动：～压迫|～批评。//❺用在某些词语前，表示所说情况与事实不符，是被强加或被迫的（含讽刺、戏谑意）：～就业|～会员|～满意。//〈古〉又同“披”（pī）。
020/L-05,鞁,,bèi,三级,14,❶古时套车用的器具。//❷同“鞴”。
020/L-06,琲,,bèi,三级,12,珠子串儿。
020/L-07,辈,（輩）,bèi,一级,12,❶代，辈分：长～|晚～|革命前～。//［辈子］（–zi）人活着的时间：一～|半～。//❷等，类（指人）：彼～|我～|无能之～。
020/L-08,鐾,,bèi,二级,21,把刀在布、皮、石头等物上反复摩擦几下，使锋利：～刀|～刀布。
020/R-01,呗,（唄）,bei,二级,7,助词。//1.表示“罢了”“不过如此”的意思：这就行了～。//2.表示勉强同意的语气，跟“吧”相近：你愿意去就去～。//另见bài。
020/R-02,臂,,bei,一级,17,见“胳”字条“胳臂”（gē–）。//另见bì。
020/R-03,奔,（①△*犇、*奔）,bēn,一级,8,❶急走，跑（〖连〗–跑）：狂～|～驰|东～西跑。//［奔波］劳苦奔走。//❷姓。//另见bèn。
020/R-04,锛,（錛）,bēn,二级,13,❶（–子）削平木料的一种工具，用时向下向内用力。//❷用锛子一类东西削、砍：～木头|用镐～地。
020/R-05,贲,（賁）,bēn,二级,9,❶奔走，快跑。//［虎贲］古时指勇士。//❷姓。//［贲门］胃与食管相连的部分。//另见bì。
020/R-06,栟,,bēn,二级,10,［栟茶］地名，在江苏省如东。//另见bīng。
020/R-07,犇,,bēn,三级,12,❶见“奔”。//❷用于人名。//❸姓。
021/L-01,本,,běn,一级,5,❶草木的根，跟“末”相对：无～之木|木～水源。引事物的根源：翻身不忘～。//［本末］头尾，始终，事情整个的过程：～倒置|纪事～（史书的一种体裁）。//［根本］1.事物的根源或主要的部分。引副词，彻底：～解决。2.副词，本质上：～不同。//［基本］1.主要的部分：～建设。2.副词，大体上：大坝已经～建成。//❷草的茎或树的干：草～植物|木～植物。//❸中心的，主要的：校～部。//❹本来，原来：～意|我～想去游泳，结果没去成。//❺自己这方面的：～国|～厂。//［本位］1.自己的责任范围：做好～工作。2.货币制度的基础或货币价值的计算标准：～货币。//❻现今的：～年|～月。//❼（–儿）本钱，用来做生意、生利息的资财：小～儿生意|老～儿|够～儿。//❽根据：有所～|～着负责的态度去做。//❾（–子、–儿）册子：日记～|笔记～。//❿（–儿）版本或底本：刻～|稿～|剧～。//⓫量词，用于书籍等：一～书|两～账。
021/L-02,苯,,běn,二级,8,有机化合物，无色液体，有特殊气味，可用来制染料，是化学工业的原料和溶剂。
